AIK HUAT HARDWARE ENTERPRISE (SETIA ALAM) SDN BHD 	company
NO. 17-G, JALAN SETIA INDAH (X) U13/X, SETIA ALAM, SEKSYEN U13, 40170 SHAH ALAM,	address
4	total
. 	O
AIK HUAT HARDWARE ENTERPRISE (SETIA ALAM) SDN BHD 	company
NO. 17-G, JALAN SETIA INDAH (X) U13/X, SETIA ALAM, SEKSYEN U13, 40170 SHAH ALAM,	address
6	total
. 	O
AIK HUAT HARDWARE ENTERPRISE (SETIA ALAM) SDN BHD 	company
NO. 17-G, JALAN SETIA INDAH (X) U13/X, SETIA ALAM, SEKSYEN U13, 40170 SHAH ALAM,	address
14	total
. 	O
SANYU STATIONERY SHOP 	company
NO. 31G&33G, JALAN SETIA INDAH X ,U13/X 40170 SETIA ALAM	address
7	total
. 	O
AIK HUAT HARDWARE ENTERPRISE (SETIA ALAM) SDN BHD 	company
NO. 17-G, JALAN SETIA INDAH (X) U13/X, SETIA ALAM, SEKSYEN U13, 40170 SHAH ALAM, 	address
16	total
. 	O
AIK HUAT HARDWARE ENTERPRISE (SETIA ALAM) SDN BHD 	company
NO. 17-G, JALAN SETIA INDAH (X) U13/X, SETIA ALAM, SEKSYEN U13, 40170 SHAH ALAM,	address
7	total
. 	O
AIK HUAT HARDWARE ENTERPRISE (SETIA ALAM) SDN BHD 	company
NO. 17-G, JALAN SETIA INDAH (X) U13/X, SETIA ALAM, SEKSYEN U13, 40170 SHAH ALAM,	address
24	total
. 	O
AIK HUAT HARDWARE ENTERPRISE (SETIA ALAM) SDN BHD 	company
NO. 17-G, JALAN SETIA INDAH (X) U13/X, SETIA ALAM, SEKSYEN U13, 40170 SHAH ALAM,	address
30	total
. 	O
AIK HUAT HARDWARE ENTERPRISE (SETIA ALAM) SDN BHD 	company
NO. 17-G, JALAN SETIA INDAH (X) U13/X, SETIA ALAM, SEKSYEN U13, 40170 SHAH ALAM,	address
24	total
. 	O
RAPID RAIL SDN BHD 	company
NO.1 JALAN PJU 1A/46, OFF JALAN LAPANGAN TERBANG SUBANG PETALING JAYA SELANGOR 4730	address
RM 30.00 	total
. 	O
MOONLIGHT CAKE HOUSE SDN BHD 	company
NO.1, JALAN PERMAS 10/5, BANDAR BARU PERMAS JAYA 81750 JOHOR BAHRU, JOHOR.	address
RM15.40 	total
. 	O
UNIHAKKA INTERNATIONAL SDN BHD 	company
12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHOR BAHRU,JOHOR	address
RM7.70 	total
. 	O
UNIHAKKA INTERNATIONAL SDN BHD 	company
12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHOR BAHRU,JOHOR	address
RM7.70 	total
. 	O
UNIHAKKA INTERNATIONAL SDN BHD 	company
12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHOR BAHRU,JOHOR	address
RM8.50 	total
. 	O
ESJAY FUEL ENTERPRISE 	company
LOT PTD 101051 JALAN PERMAS 10/10 81750 MASAI, JOHOR	address
50	total
. 	O
UNIHAKKA INTERNATIONAL SDN BHD 	company
12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHOR BAHRU,JOHOR	address
RM7.70 	total
. 	O
MOONLIGHT CAKE HOUSE SDN BHD 	company
NO.1, JALAN PERMAS 10/5, BANDAR BARU PERMAS JAYA 81750 JOHOR BAHRU, JOHOR. 	address
RM21.85 	total
. 	O
AEON CO. (M) BHD 	company
3RD FLR, AEON TAMAN MALURI SC JLN JEJAKA, TAMAN MALURI CHERAS, 55100 KUALA LUMPUR	address
127.35	total
. 	O
UNIHAKKA INTERNATIONAL SDN BHD 	company
12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHOR BAHRU,JOHOR	address
RM6.00 	total
. 	O
GRANDMA HOMES RESTAURANT 	company
NO.3 & 5, JALAN PERMAS 11, BANDAR BARU PERMAS JAYA, 81750 MASAI, JOHOR	address
473.3	total
. 	O
PASARAYA CINWA SDN BHD 	company
NO.6,8, 10& 12 JALAN PERMAS 4/3 BANDAR BARU PERMAS JAYA, 81750 JOHOR BAHRU,JOHOR.	address
14.2	total
. 	O
AEON CO. (M) BHD 	company
3RD FLR, AEON TAMAN MALURI SC JLN JEJAKA, TAMAN MALURI CHERAS, 55100 KUALA LUMPUR	address
38.6	total
. 	O
UNIHAKKA INTERNATIONAL SDN BHD 	company
12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHOR BAHRU, JOHOR	address
RM7.70 	total
. 	O
KEDAI RUNCIT ZBH 	company
NO.17,JALAN PERMAS 1/7, BANDAR BARU PERMAS JAYA,81750,MASAI	address
RM43.40 	total
. 	O
LEMON TREE RESTAURANT JTJ FOODS SDN BHD 	company
NO 3, JALAN PERMAS 10/8, BANDAR BARU PERMAS JAYA, 81750 MASAI, JOHOR	address
10.3	total
. 	O
UNIHAKKA INTERNATIONAL SDN BHD 	company
12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHOR BAHRU, JOHOR	address
RM8.20 	total
. 	O
THE TOAST F&B SDN BHD 	company
LOT 2110&2111 JALAN PERMAS UTARA BANDAR BARU PERMAS 81750 JOHOR BAHRU JOHOR 	address
28.15	total
. 	O
DE LUXE CIRCLE FRESH MART SDN BHD 	company
NO.89&91, JALAN UTAMA, TAMAN MUTIA RINI, 81300 SKUDAI, JOHOR. 	address
25.85	total
. 	O
UNIHAKKA INTERNATIONAL SDN BHD 	company
12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHOR BAHRU, JOHOR	address
RM8.20 	total
. 	O
LAVENDER CONFECTIONERY & BAKERY S/B 	company
LOT G29 & G30, AEON MALL TEBRAU CITY, NO. 1, JALAN DESA TEBRAU, TAMAN DESA TEBRAU, 81100 JOHOR BAHRU.	address
26.5	total
. 	O
PASIR EMAS HARDWARE SDN BHD 	company
NO 69, JALAN PENGKALAN 5, TAMAN PASIR EMAS, KG PASIR PUTIH, 81700 PASIR GUDANG, JOHOR.	address
36	total
. 	O
IDEAL MENU GROUP SDN BHD 	company
31,31A, JALAN HANG TUAH 9, TAMAN SKUDAI BARU, 81300 SKUDAI, JOHOR	address
12	total
. 	O
UNIHAKKA INTERNATIONAL SDN BHD 	company
12, JALAN TAMPOL 7/4,KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHOR BAHRU,JOHOR	address
RM8.50 	total
. 	O
RESTORAN DE COFFEE O 	company
NO 33, 35, G F ,JALAN TEMENGGUNG 3/9, BANDAR MAHKOTA CHERAS, 43200 CHERAS, SELANGOR 	address
11.6	total
. 	O
GERBANG ALAF RESTAURANTS SDN BHD 	company
LEVEL 6, BANGUNAN TH, DAMANSARA UPTOWN3 NO.3, JALAN SS21/39, 47400 PETALING JAYA SELANGOR	address
12.8	total
. 	O
MOONLIGHT CAKE HOUSE SDN BHD 	company
NO.1, JALAN PERMAS 10/5, BANDAR BARU PERMAS JAYA 81750 JOHOR BAHRU, JOHOR.	address
RM14.20 	total
. 	O
GERBANG ALAF RESTAURANTS SDN BHD 	company
LEVEL 6, BANGUNAN TH, DAMANSARA UPTOWN3 NO.3, JALAN SS21/39,47400 PETALING JAYA SELANGOR	address
18.9	total
. 	O
MR. D.I.Y. (M) SDN BHD 	company
LOT 1851-A & 1851-B, JALAN KPB 6, KAWASAN PERINDUSTRIAN BALAKONG, 43300 SERI KEMBANGAN, SELANGOR	address
2.7	total
. 	O
RESTORAN WAN SHENG 	company
NO.2, JALAN TEMENGGUNG 19/9, SEKSYEN 9, BANDAR MAHKOTA CHERAS, 43200 CHERAS, SELANGOR	address
2.4	total
. 	O
RESTORAN WAN SHENG 	company
NO.2, JALAN TEMENGGUNG 19/9, SEKSYEN 9, BANDAR MAHKOTA CHERAS, 43200 CHERAS, SELANGOR	address
5	total
. 	O
SANG KEE CHERAS RESTAURANT 	company
69, JALAN TEMENGGUNG 3/9 BANDAR MAHKOTA CHERAS 43200 CHERAS SELANGOR	address
2.5	total
. 	O
MR. D.I.Y. (M) SDN BHD 	company
LOT 1851-A & 1851-B, JALAN KPB 6, KAWASAN PERINDUSTRIAN BALAKONG, 43300 SERI KEMBANGAN, SELANGOR	address
69.2	total
. 	O
RESTORAN WAN SHENG 	company
NO.2, JALAN TEMENGGUNG 19/9, SEKSYEN 9, BANDAR MAHKOTA CHERAS, 43200 CHERAS, SELANGOR	address
4.2	total
. 	O
RESTORAN WAN SHENG 	company
NO.2, JALAN TEMENGGUNG 19/9, SEKSYEN 9, BANDAR MAHKOTA CHERAS, 43200 CHERAS, SELANGOR	address
4.6	total
. 	O
RESTORAN WAN SHENG 	company
NO.2, JALAN TEMENGGUNG 19/9, SEKSYEN 9, BANDAR MAHKOTA CHERAS, 43200 CHERAS, SELANGOR	address
6.5	total
. 	O
RESTORAN WAN SHENG 	company
NO.2, JALAN TEMENGGUNG 19/9, SEKSYEN 9, BANDAR MAHKOTA CHERAS, 43200 CHERAS, SELANGOR	address
4.6	total
. 	O
RESTORAN WAN SHENG 	company
NO.2, JALAN TEMENGGUNG 19/9, SEKSYEN 9, BANDAR MAHKOTA CHERAS, 43200 CHERAS, SELANGOR 	address
4.8	total
. 	O
10 GRAM GOURMET SBN BHD 	company
NO 3, JALAN TEMENGGUNG 27/9 BANDAR MAHKOTA CHERAS, 43200 SELANGOR.	address
15	total
. 	O
LEONG HENG SHELL SERVICE STATION 	company
LOT 26151 BANDAR SG LONG, 11 1/4 MILES CHERAS, 43000 KAJANG, SELANGOR	address
50	total
. 	O
PAPPARICH BMC 	company
NO.19 & 21 JALAN TEMENGGUNG 23/9 BANDAR MAHKOTA CHERAS 43200 SELANGOR DARUL EHSAN, MALAYSIA	address
17.22	total
. 	O
PROSPER NIAGA 	company
LOT PT 1138 ,PT 33122, BANDAR MAHKOTA CHERAS 43200 CHERAS, SELANGOR	address
100	total
. 	O
RESTORAN WAN SHENG 	company
NO.2, JALAN TEMENGGUNG 19/9, SEKSYEN 9, BANDAR MAHKOTA CHERAS, 43200 CHERAS, SELANGOR	address
9.6	total
. 	O
MR. D.I.Y. (KUCHAI) SDN BHD 	company
LOT 1851-A & 1851-B, JALAN KPB 6, KAWASAN PERINDUSTRIAN BALAKONG, 43300 SERI KEMBANGAN, SELANGOR	address
8.95	total
. 	O
MIZU MENTAI SDN. BHD. 	company
NO: 1-1&2 GROUND FLOOR, JLN TEMENGGUNG 13/9, 43200 CHERAS SELANGOR.	address
68	total
. 	O
MR. D.I.Y. (KUCHAI) SDN BHD 	company
LOT 1851-A & 1851-B, JALAN KPB 6, KAWASAN PERINDUSTRIAN BALAKONG, 43300 SERI KEMBANGAN, SELANGOR	address
27.25	total
. 	O
99 SPEED MART S/B 	company
LOT P.T. 2811, JALAN ANGSA, TAMAN BERKELEY 41150 KLANG, SELANGOR 1237-TMN INDAH PERDANA	address
23.6	total
. 	O
99 SPEED MART S/B 	company
LOT P.T. 2811, JALAN ANGSA, TAMAN BERKELEY 41150 KLANG, SELANGOR 1237-TMN INDAH PERDANA	address
137.15	total
. 	O
99 SPEED MART S/B 	company
LOT P.T. 2811, JALAN ANGSA, TAMAN BERKELEY 41150 KLANG, SELANGOR 1237-TMN INDAH PERDANA	address
22.9	total
. 	O
MR. D.I.Y. (KUCHAI) SDN BHD 	company
LOT 1851-A & 1851-B, JALAN KPB 6, KAWASAN PERINDUSTRIAN BALAKONG, 43300 SERI KEMBANGAN, SELANGOR	address
11.25	total
. 	O
99 SPEED MART S/B 	company
LOT P.T. 2811, JALAN ANGSA, TAMAN BERKELEY 41150 KLANG, SELANGOR 1237-TMN INDAH PERDANA	address
23.4	total
. 	O
99 SPEED MART S/B 	company
LOT P.T. 2811, JALAN ANGSA, TAMAN BERKELEY 41150 KLANG, SELANGOR 1237-TMN INDAH PERDANA	address
20.9	total
. 	O
SANJUNG REALITI SDN. BHD. 	company
CAR PARK OFFICE, BASEMENT 1, LABUHRAYA SPRINT, PJU6A, 47400 PETALING JAYA, SELANGOR	address
1.5	total
. 	O
MR. D.I.Y. (M) SDN BHD 	company
LOT 1851-A & 1851-B, JALAN KP3 6, KAWASAN PERINDUSTRIAN BALAKONG, 43300 SERI KEMBANGAN, SELANGOR	address
8.1	total
. 	O
MYNEWS RETAIL SB 	company
OASIS VILLAGE LOUNGE 2, GROUND FLOOR, OASIS VILLAGE,NO 2, JALAN PJU 1A/7A, OASIS SQUARE,OASIS DAMANSARA., 47301, PETALING JAYA,SELANGOR	address
7.7	total
. 	O
DION REALTIES SDN BHD 	company
MENARA DION #02-03, LEVEL 2, 27, JALAN SULTAN ISMAIL, 50250 KUALA LUMPUR.	address
5	total
. 	O
C W KHOO HARDWARE SDN BHD 	company
NO.50 , JALAN PBS 14/11 , KAWASAN PERINDUSTRIAN BUKIT SERDANG,	address
48	total
. 	O
ONE ONE THREE SEAFOOD RESTAURANT SDN BHD 	company
NO.1, TAMAN SRI DENGKIL, JALAN AIR HITAM 43800 DENGKIL, SELANGOR.	address
65.7	total
. 	O
ONE ONE THREE SEAFOOD RESTAURANT SDN BHD 	company
NO. 1, TAMAN SRI DENGKIL, JALAN AIR HITAM 43800 DENGKIL, SELANGOR.	address
71	total
. 	O
ONE ONE THREE SEAFOOD RESTAURANT SDN BHD 	company
NO. 1, TAMAN SRI DENGKIL, JALAN AIR HITAM 43800 DENGKIL, SELANGOR.	address
112.35	total
. 	O
ONE ONE THREE SEAFOOD RESTAURANT SDN BHD 	company
NO. 1, TAMAN SRI DENGKIL, JALAN AIR HITAM 43800 DENGKIL, SELANGOR.	address
42.4	total
. 	O
ONE ONE THREE SEAFOOD RESTAURANT SDN BHD 	company
NO. 1, TAMAN SRI DENGKIL, JALAN AIR HITAM 43800 DENGKIL, SELANGOR.	address
52	total
. 	O
MEGAH RETAIL SDN BHD 	company
3-7, GROUND FLOOR, JLN PURTA DENGKIL 1 TMN PUTRA DENGKIL 43800 DENGKIL, SELANGOR DARUL EHSAN	address
4.7	total
. 	O
KEDAI PAPAN YEW CHUAN 	company
LOT 276 JALAN BANTING 43800 DENGKIL, SELANGOR	address
190.8	total
. 	O
KEDAI PAPAN YEW CHUAN 	company
LOT 276 JALAN BANTING 43800 DENGKIL, SELANGOR	address
87.45	total
. 	O
99 SPEED MART S/B 	company
LOT P.T. 2811, JALAN ANGSA, TAMAN BERKELEY 41150 KLANG, SELANGOR 1225-DENGKIL	address
27.9	total
. 	O
KEDAI PAPAN YEW CHUAN 	company
LOT 276 JALAN BANTING 43800 DENGKIL, SELANGOR	address
121.9	total
. 	O
KEDAI PAPAN YEW CHUAN 	company
LOT 276 JALAN BANTING 43800 DENGKIL, SELANGOR	address
178.08	total
. 	O
KEDAI PAPAN YEW CHUAN 	company
LOT 276 JALAN BANTING 43800 DENGKIL, SELANGOR.	address
162.71	total
. 	O
KEDAI PAPAN YEW CHUAN 	company
LOT 276 JALAN BANTING 43800 DENGKIL, SELANGOR	address
361.46	total
. 	O
KEDAI PAPAN YEW CHUAN 	company
LOT 276 JALAN BANTING 43800 DENGKIL, SELANGOR	address
68.9	total
. 	O
KEDAI PAPAN YEW CHUAN 	company
LOT 276 JALAN BANTING 43800 DENGKIL, SELANGOR	address
404.39	total
. 	O
GH DISTRIBUTOR & MARKETING SDN BHD 	company
216, MACALISTER ROAD, 10400 PENANG, 10400 PENANG.	address
85.2	total
. 	O
OCEAN LC PACKAGING ENTERPRISE 	company
41-1, JLN RADIN ANUM 2, SRI PETALING, 57000 KUALA LUMPUR.	address
RM152.00 	total
. 	O
POPULAR BOOK CO. (M) SDN BHD 	company
NO 8, JALAN 7/118B, DESA TUN RAZAK 56000 KUALA LUMPUR, MALAYSIA	address
7.3	total
. 	O
KT WONG TRADING 	company
22, JALAN PERINDUSTRIAN HIJAU 5, TAMAN PERINDUSTRIAN HIJAU,	address
489.3	total
. 	O
AMTECH ELECTRICAL SUPPLIES 	company
107,JALAN BANDAR RAWANG 2, PUSAT BANDAR RAWANG, 48000 RAWANG,SELANGOR D E	address
136	total
. 	O
MR. D.I.Y. (M) SDN BHD 	company
LOT 1851-A & 1851-B, JALAN KPB 6, KAWASAN PERINDUSTRIAN BALAKONG, 43300 SERI KEMBANGAN, SELANGOR	address
7.15	total
. 	O
PASAR RAYA MEGA MAJU (SEMENYIH) SDN BHD 	company
NO 24, 25 & 26, JALAN PUSAT PERNIAGAAN BUNGA RAYA 4, PUSAT PERNIAGAAN BUNGA RAYA,	address
30.45	total
. 	O
ONE ONE THREE SEAFOOD RESTAURANT SDN BHD 	company
NO. 1, TAMAN SRI DENGKIL, JALAN AIR HITAM 43800 DENGKIL, SELANGOR.	address
59	total
. 	O
ONE ONE THREE SEAFOOD RESTAURANT SDN BHD 	company
NO.1, TAMAN SRI DENGKIL, JALAN AIR HITAM 43800 DENGKIL, SELANGOR.	address
35	total
. 	O
ONE ONE THREE SEAFOOD RESTAURANT SDN BHD 	company
NO.1, TAMAN SRI DENGKIL, JALAN AIR HITAM 43800 DENGKIL, SELANGOR.	address
87.45	total
. 	O
LIAN HING STATIONERY SDN BHD 	company
NO.32 & 33, JALAN SR 1/9, SEKSYEN 9, TAMAN SERDANG RAYA, 43300 SERI KEMBANGAN, SELANGOR DARUL EHSAN	address
12	total
. 	O
99 SPEED MART S/B 	company
LOT P.T. 2811, JALAN ANGSA, TAMAN BERKELEY 41150 KLANG, SELANGOR 1317 TRILLIUM S6 BESI	address
141.5	total
. 	O
GL HANDICRAFT & TAIL ORING 	company
19, JALAN KANCIL, OFF JALAN PUDU, 55100 KUALA LUMPUR MALAYSIA	address
102	total
. 	O
POPULAR BOOK CO. (M) SDN BHD 	company
NO 8, JALAN 7/118B, DESA TUN RAZAK 56000 KUALA LUMPUR, MALAYSIA	address
49.4	total
. 	O
AEON CO. (M) BHD 	company
3RD FLR, AEON TAMAN MALURI SC JLN JEJAKA, TAMAN MALURI CHERAS, 55100 KUALA LUMPUR	address
17.7	total
. 	O
LIAN HING STATIONERY SDN BHD 	company
NO.32 & 33, JALAN SR 1/9, SEKSYEN 9, TAMAN SERDANG RAYA, 43300 SERI KEMBANGAN, SELANGOR DARUL EHSAN	address
79.5	total
. 	O
SYARIKAT PERNIAGAAN GIN KEE 	company
NO 290, JALAN AIR PANAS. SETAPAK. 53200, KUALA LUMPUR.	address
7.42	total
. 	O
SYARIKAT PERNIAGAAN GIN KEE 	company
NO 290, JALAN AIR PANAS. SETAPAK, 53200, KUALA LUMPUR.	address
29.68	total
. 	O
SYARIKAT PERNIAGAAN GIN KEE 	company
NO 290, JALAN AIR PANAS. SETAPAK, 53200, KUALA LUMPUR	address
148.4	total
. 	O
SYARIKAT PERNIAGAAN GIN KEE 	company
NO 290, JALAN AIR PANAS, SETAPAK, 53200, KUALA LUMPUR.	address
6.36	total
. 	O
IKANO HANDEL SDN BHD 	company
